"Source:","F:\Kue projekt\Lampka1\Lampka.kicad_sch"
"Date:","15.06.2023 11:35:12"
"Tool:","Eeschema (7.0.0)"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","26"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","1","C1","330n","Device:C","Capacitor_SMD:C_0805_2012Metric","~","",""
"2","1","C2","10n","Device:C","Capacitor_SMD:C_0805_2012Metric","~","",""
"3","5","C3, C4, C5, C6, C7","100n","Device:C","Capacitor_SMD:C_0805_2012Metric","~","",""
"4","1","D1","D_Schottky","Device:D_Schottky","Diode_SMD:D_SOD-123F","~","",""
"5","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_2.2mm_M2_ISO14580","~","",""
"6","3","J2, J3, J4","Conn_01x02_Pin","Connector:Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","",""
"7","1","J5","USB_B_Mini","Connector:USB_B_Mini","Connector_USB:USB_Mini-B_Wuerth_65100516121_Horizontal","~","",""
"8","1","Q1","BUK7880-55A","Transistor_FET:BUK7880-55A","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://assets.nexperia.com/documents/data-sheet/BUK7880-55A.pdf","",""
"9","2","R1, R4","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"10","1","R2","100k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"11","1","R2Foto1","R","Device:R","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","",""
"12","1","R3","10M","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"13","2","RV1, RV2","10k","Device:R_Potentiometer","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","",""
"14","1","U1","MCP6562","Comparator:MCP6562","Package_SO:SO-8_3.9x4.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/MCP6561-1R-1U-2-4-1.8V-Low-Power-Push-Pull-Output-Comparator-DS20002139E.pdf","",""
"15","1","U2","NE555D","Timer:NE555D","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/ne555.pdf","",""
